name,parent
,
Béni Mellal-Khénifra     ,
Azilal                   ,{{name}}
Béni Mellal              ,{{name}}
Fquih  Ben Salah         ,{{name}}
Khénifra                 ,{{name}}
Khouribga                ,{{name}}
,
Casablanca-Settat        ,
Benslimane               ,{{name}}
Berrechid                ,{{name}}
Casablanca               ,{{name}}
El Jadida                ,{{name}}
Médiouna                 ,{{name}}
Mohammédia               ,{{name}}
Nouaceur                 ,{{name}}
Settat                   ,{{name}}
Sidi Bennour             ,{{name}}
,
Dakhla-Oued Ed-Dahab     ,
Oued Ed-Dahab            ,{{name}}
Dakhla                   ,{{{name}}}
,
Drâa-Tafilalet           ,
Errachidia               ,{{name}}
Midelt                   ,{{name}}
Ouarzazate               ,{{name}}
Tinghir                  ,{{name}}
Zagora                   ,{{name}}
,
Fès-Meknès               ,
Boulmane                 ,{{name}}
El Hajeb                 ,{{name}}
Fès                      ,{{name}}
Ifrane                   ,{{name}}
Meknès                   ,{{name}}
Sefrou                   ,{{name}}
Taza                     ,{{name}}
Taounate                 ,{{name}}
,
Guelmim-Oued Noun        ,
Guelmim                  ,{{name}}
Assa-Zag                 ,{{name}}
Tan-Tan                  ,{{name}}
Sidi-Ifni                ,{{name}}
,
L'Oriental               ,
Oujda                    ,{{name}}
Berkane                  ,{{name}}
Taourirt                 ,{{name}}
Figuig                   ,{{name}}
Jerada                   ,{{name}}
Guercif                  ,{{name}}
Nador                    ,{{name}}
Driouch                  ,{{name}}
,
Laâyoune-Sakia El Hamra  ,
Laâyoune                 ,{{name}}
Boujdour                 ,{{name}}
Tarfaya                  ,{{name}}
Es-Semara                ,{{name}}
,
Marrakech-Safi           ,
Marrakech                ,{{name}}
Chichaoua                ,{{name}}
Al Haouz                 ,{{name}}
El Kelâa des Sraghna     ,{{name}}
Essaouira                ,{{name}}
Rehamna                  ,{{name}}
Safi                     ,{{name}}
Youssoufia               ,{{name}}
,
Rabat-Salé-Kénitra       ,
Rabat                    ,{{name}}
Salé                     ,{{name}}
Skhirat-Témara           ,{{name}}
Kénitra                  ,{{name}}
Khemisset                ,{{name}}
Sidi Kacem               ,{{name}}
Sidi Slimane             ,{{name}}
,
Souss-Massa              ,
Agadir Ida-Outanane      ,{{name}}
Chtouka-Aït Baha         ,{{name}}
Inezgane-Aït Melloul     ,{{name}}
Taroudant                ,{{name}}
Tata                     ,{{name}}
Tiznit                   ,{{name}}
,
Tanger-Tétouan-Al Hoceïma,
Chefchaouen              ,{{name}}
Fahs-Anjra               ,{{name}}
Larache                  ,{{name}}
Ouezzane                 ,{{name}}
Tétouan                  ,{{name}}
M'diq-Fnideq             ,{{name}}
Tanger-Asilah            ,{{name}}
Al Hoceïma               ,{{name}}
