name,specification,value,scope
,,,
carburant-électricité,Carburant,Électricité,v|-velos
carburant-essence    ,Carburant,Essence    ,v|-velos
carburant-gasoil     ,Carburant,Gasoil     ,v|-velos
carburant-hybride    ,Carburant,Hybride    ,v|-velos
,,,
kilométrage-0            ,Kilométrage,      0 km          ,v|-velos
kilométrage-000001-050000,Kilométrage,      1 à 50 000 km ,v|-velos
kilométrage-050001-100000,Kilométrage, 50 001 à 100 000 km,v|-velos
kilométrage-100001-150000,Kilométrage,100 001 à 150 000 km,v|-velos
kilométrage-150001-200000,Kilométrage,150 001 à 200 000 km,v|-velos
kilométrage-200001-250000,Kilométrage,200 001 à 250 000 km,v|-velos
kilométrage-250001-300000,Kilométrage,250 001 à 300 000 km,v|-velos
kilométrage-300001-∞     ,Kilométrage,300 001 km ou plus  ,v|-velos
,,,
marque-citroën   ,Marque,Citroën   ,v|-velos
marque-dacia     ,Marque,Dacia     ,v|-velos
marque-fiat      ,Marque,Fiat      ,v|-velos
marque-ford      ,Marque,Ford      ,v|-velos
marque-hyundai   ,Marque,Hyundai   ,v|-velos
marque-nissan    ,Marque,Nissan    ,v|-velos
marque-peugeot   ,Marque,Peugeot   ,v|-velos
marque-renault   ,Marque,Renault   ,v|-velos
marque-toyota    ,Marque,Toyota    ,v|-velos
marque-volkswagen,Marque,Volkswagen,v|-velos
marque-acer      ,Marque,Acer      ,ordi-desktop|ordi-laptop
marque-apple     ,Marque,Apple     ,ordi-desktop|ordi-laptop
marque-asus      ,Marque,Asus      ,ordi-desktop|ordi-laptop
marque-dell      ,Marque,Dell      ,ordi-desktop|ordi-laptop
marque-hp        ,Marque,HP        ,ordi-desktop|ordi-laptop
marque-lenovo    ,Marque,Lenovo    ,ordi-desktop|ordi-laptop
,,,
année-1999-0000,Année,1999 ou avant,v
année-2000     ,Année,2000         ,v
année-2001     ,Année,2001         ,v
année-2002     ,Année,2002         ,v
année-2003     ,Année,2003         ,v
année-2004     ,Année,2004         ,v
année-2005     ,Année,2005         ,v
année-2006     ,Année,2006         ,v
année-2007     ,Année,2007         ,v
année-2008     ,Année,2008         ,v
année-2009     ,Année,2009         ,v
année-2010     ,Année,2010         ,v
année-2011     ,Année,2011         ,v
année-2012     ,Année,2012         ,v
année-2013     ,Année,2013         ,v
année-2014     ,Année,2014         ,v
année-2015     ,Année,2015         ,v
année-2016     ,Année,2016         ,v
année-2017     ,Année,2017         ,v
année-2018     ,Année,2018         ,v
année-2019     ,Année,2019         ,v
année-2020     ,Année,2020         ,v
année-2021     ,Année,2021         ,v
,,,
prix-0000000001-0000000100,Prix,          100 DH ou moins       ,*
prix-0000000101-0000000200,Prix,          101 à 200 DH          ,*
prix-0000000201-0000000500,Prix,          201 à 500 DH          ,*
prix-0000000501-0000001000,Prix,          501 à 1 000 DH        ,*
prix-0000001001-0000002000,Prix,        1 001 à 2 000 DH        ,*
prix-0000002001-0000005000,Prix,        2 001 à 5 000 DH        ,*
prix-0000005001-0000010000,Prix,        5 001 à 10 000 DH       ,*
prix-0000010001-0000020000,Prix,       10 001 à 20 000 DH       ,*
prix-0000020001-0000050000,Prix,       20 001 à 50 000 DH       ,*
prix-0000050001-0000100000,Prix,       50 001 à 100 000 DH      ,*
prix-0000100001-0000200000,Prix,      100 001 à 200 000 DH      ,*
prix-0000200001-0000500000,Prix,      200 001 à 500 000 DH      ,*
prix-0000500001-0001000000,Prix,      500 001 à 1 000 000 DH    ,*
prix-0001000001-0002000000,Prix,    1 000 001 à 2 000 000 DH    ,*
prix-0002000001-0005000000,Prix,    2 000 001 à 5 000 000 DH    ,*
prix-0005000001-0010000000,Prix,    5 000 001 à 10 000 000 DH   ,*
prix-0010000001-0020000000,Prix,   10 000 001 à 20 000 000 DH   ,*
